Institution ,  Course ,  Salary  (6  months  after) ,  Median  Tariff
10000291,Assistant  Practitioner  (Nursing),22000,86.42857142857143
10000291,Audio  and  Music  Technology,26000,108.0
10000291,Audio  and  Music  Technology,26000,108.0
10000291,Banking  and  Finance,21000,86.0
10000291,Banking  and  Finance,21000,86.0
10000291,Biomedical  Science,26000,99.0
10000291,Biomedical  Science,19000,92.27272727272727
10000291,Bioscience,19000,64
10000291,Building  Surveying,27000,115.75
10000291,Building  Surveying,27000,89.0
10000291,Building  Surveying,38000,0
10000291,Business  and  Events  Management,21000,107.25
10000291,Business  and  Healthcare  Management,21000,82.36842105263158
10000291,Business  and  Hospitality  Management,21000,82.36842105263158
10000291,Business  and  Human  Resource  Management,19000,103.5
10000291,Business  and  Human  Resource  Management,19000,101.0
10000291,Business  and  Human  Resource  Management,19000,103.5
10000291,Business  and  Human  Resource  Management,29000,0
10000291,Business  and  Human  Resource  Management,21000,82.36842105263158
10000291,Business  and  Law,21000,82.36842105263158
10000291,Business  and  Marketing,21000,82.36842105263158
10000291,Business  and  Tourism,21000,82.36842105263158
10000291,Business  Economics,25000,71.5
10000291,Business  Economics,26000,101.0
10000291,Business  Economics,30000,0
10000291,Business  Management,30000,0
10000291,Business  Management,30000,0
10000291,Business  Management,21000,91.25
10000291,Business  Management,21000,90.0
10000291,Business  Management,21000,83.75
10000291,Business  Management  and  Finance,21000,86.0
10000291,Business  Management  and  Finance,29000,0
10000291,Business  Management  and  Finance,21000,80
10000291,Business  Management  and  Leadership,21000,71.5
10000291,Business  Management  and  Leadership,21000,80
10000291,Charity  and  Social  Enterprise  Management,30000,0
10000291,Civil  Engineering,26000,92.0
10000291,Civil  Engineering,26000,80
10000291,Civil  Engineering,34000,0
10000291,Civil  Engineering,26000,80
10000291,Civil  Engineering,26000,80
10000291,Civil  Engineering,26000,80
10000291,Civil  Engineering,34000,0
10000291,Computer  Games  Art,24000,133.0
10000291,Computer  Gaming  Technology,24000,98.5
10000291,Computer  Gaming  Technology,24000,57.375
10000291,Computer  Gaming  Technology,24000,94.21052631578948
10000291,Computer  Networks,24000,94.21052631578948
10000291,Computer  Networks,24000,87.5
10000291,Computer  Science,24000,94.21052631578948
10000291,Computer  Science,24000,80
10000291,Computing  and  Information  Systems,24000,64
10000291,Construction  Management,27000,89.0
10000291,Construction  Management,38000,0
10000291,Construction  Management,27000,89.0
10000291,Counselling  (Child  and  Young  Person),26000,0
10000291,Creative  Music  Technology,17000,101.625
10000291,Crime  and  Investigative  Studies,18000,57.23076923076923
10000291,Crime  and  Investigative  Studies,18000,105.0
10000291,Crime  and  Investigative  Studies,18000,85.0
10000291,Crime  and  Investigative  Studies,18000,85.0
10000291,Criminology,27000,0
10000291,Criminology,18000,99.0
10000291,Criminology,18000,75.66666666666667
10000291,Criminology  and  Sociology,18000,99.75
10000291,Cyber  Security,24000,94.21052631578948
10000291,Cyber  Security,24000,94.21052631578948
10000291,Digital  Media,18000,80
10000291,Drama,18000,90.5
10000291,Early  Childhood  Studies,17000,96
10000291,Education,17000,115.21428571428572
10000291,Electronic  Engineering,26000,99.0
10000291,Electronic  Engineering,26000,99.0
10000291,English  Language,18000,91.08695652173913
10000291,English  Language  and  English  Language  Teaching,18000,99.0
10000291,English  Language  and  Linguistics,18000,96
10000291,English  Literature,18000,91.08695652173913
10000291,English  Literature,18000,87.5
10000291,Events  Management,21000,107.25
10000291,Events  Management,21000,107.25
10000291,Fashion  Design,18000,101.0
10000291,Film  and  Television  Production,18000,108.0
10000291,Film  Studies,18000,87.5
10000291,Film  Studies  and  Media  Studies,18000,100.28571428571428
10000291,Finance  and  Accounting,21000,86.0
10000291,Finance  and  Business  Analytics,21000,86.0
10000291,Finance  and  Business  Analytics,21000,86.0
10000291,Fine  Art,18000,112
10000291,Forensic  Science,18000,85.0
10000291,Forensic  Science,18000,61.125
10000291,Forensic  Science,18000,118.0
10000291,Graphic  Design,18000,80
10000291,Health  and  Social  Care,22000,118.42857142857143
10000291,Health  and  Social  Care,22000,118.42857142857143
10000291,Healthcare  Science  (Physiological  Sciences),22000,101.0
10000291,Hearing  Aid  Audiology,22000,0
10000291,History,18000,90.0
10000291,History  and  English  Literature,18000,87.5
10000291,Illustration,18000,118.0
10000291,Illustration  and  Animation,18000,96
10000291,Interior  Design,18000,96
10000291,International  Business  Management,21000,64
10000291,International  Business  Management,21000,82.36842105263158
10000291,International  Business  Management,29000,0
10000291,International  Business  Management,21000,82.36842105263158
10000291,International  Business  Management,21000,82.36842105263158
10000291,International  Business  Management  (Accelerated),21000,71.5
10000291,Law,19000,93.5
10000291,Law  and  Accounting,21000,82.36842105263158
10000291,Leadership  and  Management  in  Health  and  Social  Care,23000,0
10000291,Management,32000,0
10000291,Management,29000,0
10000291,Marine  Biology  with  Biodiversity  and  Conservation,19000,70.42857142857143
10000291,Marine  Biology  with  Biodiversity  and  Conservation,19000,91.25
10000291,Marine  Biology  with  Biodiversity  and  Conservation,19000,64
10000291,Marketing,20000,89.0
10000291,Marketing,20000,90.0
10000291,Mechanical  Engineering,26000,71.5
10000291,Mechanical  Engineering,26000,71.5
10000291,Mechanical  Engineering,26000,71.5
10000291,Mechanical  Engineering,34000,0
10000291,Media  Studies,18000,80
10000291,Media  Studies,18000,75.25
10000291,Medical  Engineering,26000,80
10000291,Medical  Engineering,26000,80
10000291,Medical  Science,22000,74.0
10000291,Medical  Science,22000,74.0
10000291,Midwifery,22000,162.5
10000291,Multimedia  Journalism,18000,99.75
10000291,Music,17000,92.5
10000291,Nursing  (Adult),22000,108.0
10000291,Nursing  (Child),22000,124.0
10000291,Nursing  (Mental  Health),22000,112
10000291,Operating  Department  Practice,22000,118.42857142857143
10000291,Ophthalmic  Dispensing,20000,0
10000291,Ophthalmic  Dispensing,15000,80
10000291,Ophthalmic  Dispensing,15000,60.27272727272727
10000291,Optometry,15000,96
10000291,Osteopathy,22000,101.625
10000291,Paramedic  Science,22000,116.28571428571428
10000291,Performing  Arts,18000,103.94117647058823
10000291,Performing  Arts,18000,106.0
10000291,Pharmaceutical  Science,22000,64
10000291,Pharmaceutical  Science,22000,58.0
10000291,Philosophy,18000,85.625
10000291,Photography,16000,99.0
10000291,Policing  and  Criminal  Justice,18000,91.78571428571429
10000291,Politics,21000,97.42857142857143
10000291,Popular  Music,17000,80
10000291,Primary  Education  Studies,17000,115.21428571428572
10000291,Professional  Dance  and  Musical  Theatre,18000,103.94117647058823
10000291,Psychology,18000,94.42307692307692
10000291,Psychology  and  Criminology,18000,80
10000291,Psychosocial  Studies,18000,93.84615384615384
10000291,Psychosocial  Studies,18000,93.84615384615384
10000291,Psychosocial  Studies,27000,0
10000291,Psychosocial  Studies,27000,0
10000291,Public  Health,22000,80
10000291,Public  Service,18000,91.78571428571429
10000291,Quantity  Surveying,27000,89.0
10000291,Quantity  Surveying,38000,0
10000291,Quantity  Surveying,27000,89.0
10000291,Sales,29000,0
10000291,Smart  Computing,24000,94.21052631578948
10000291,Smart  Computing,24000,94.21052631578948
10000291,Social  Policy,18000,87.5
10000291,Social  Policy,27000,0
10000291,Social  Work,26000,138.0
10000291,Social  Work,27000,0
10000291,Sociology,18000,93.84615384615384
10000291,Sociology,18000,101.0
10000291,Sociology,27000,0
10000291,Software  Development,24000,94.21052631578948
10000291,Software  Development,24000,94.21052631578948
10000291,Sport  and  Exercise  Science,18000,57.375
10000291,Sport  and  Exercise  Science,18000,103.5
10000291,Sports  Coaching  and  Physical  Education,18000,96
10000291,Sports  Coaching  and  Physical  Education,18000,68.5
10000291,Sports  Coaching  and  Physical  Education,18000,92.0
10000291,Tourism  Management,21000,107.25
10000291,Tourism  Management,18000,85.0
10000291,Veterinary  Nursing  and  Applied  Animal  Behaviour,18000,108.85714285714286
10000291,Writing  and  English  Literature,18000,92.0
10000291,Zoology,16000,98.5
10000291,Zoology,16000,73.0
10000291,Zoology,16000,88.33333333333333
10000385,Acting,17000,131.1578947368421
10000385,Animation  Production,17000,145.76470588235293
10000385,Architecture,19000,96
10000385,Art  and  Design  History,16000,122.26315789473685
10000385,Commercial  Photography,17000,148.0909090909091
10000385,Costume  and  Performance  Design,17000,149.45454545454547
10000385,Creative  Events  Management,19000,112
10000385,Creative  Writing,17000,148.28571428571428
10000385,Dance,17000,150.42857142857142
10000385,Drawing,16000,122.26315789473685
10000385,Fashion,18000,138.5
10000385,Fashion  Branding  and  Communication,18000,152.1818181818182
10000385,Film  Production,17000,149.2941176470588
10000385,Fine  Art,16000,122.26315789473685
10000385,Graphic  Design,18000,157.125
10000385,Illustration,18000,168.33333333333334
10000385,Interior  Architecture  and  Design,18000,133.0
10000385,Make-up  for  Media  and  Performance,17000,139.66666666666666
10000385,Modelmaking,18000,144
10000385,Photography,17000,150.92307692307693
10000385,Textiles,18000,151.5
10000385,Visual  Communication,18000,154.0
10000385,Visual  Effects  Design  and  Production,17000,119.5
10007162,3D  Effects  for  Performance  and  Fashion,19000,112
10007162,Acting,19000,138.0
10007162,Advertising,19000,112
10007162,Animation,18000,99.75
10007162,Architecture,21000,96
10007162,Bespoke  Tailoring,19000,112
10007162,Ceramic  Design,19000,125.23529411764706
10007162,Cordwainers  Fashion  Bags  and  Accessories:  Product  Design  and  Innovation,19000,90.71428571428571
10007162,Cordwainers  Footwear:  Product  Design  and  Innovation,19000,112
10007162,Costume  for  Performance,19000,112
10007162,Costume  for  Theatre  and  Screen,19000,134.66666666666666
10007162,Creative  Direction  for  Fashion,19000,112
10007162,Culture  Criticism  And  Curation,19000,131.75
10007162,Design  for  Art  Direction,18000,103.5
10007162,Design  for  Branded  Spaces,19000,125.23529411764706
10007162,Design  Management  and  Cultures,19000,125.23529411764706
10007162,Directing,19000,134.66666666666666
10007162,Drawing,19000,123.25
10007162,Fashion  Buying  and  Merchandising,24000,122.0
10007162,Fashion  Communication:  Fashion  Communication  and  Promotion,19000,125.23529411764706
10007162,Fashion  Communication:  Fashion  History  and  Theory,19000,112
10007162,Fashion  Communication:  Fashion  Journalism,19000,117.0
10007162,Fashion  Contour,19000,116.28571428571428
10007162,Fashion  Design  and  Development,19000,147.0
10007162,Fashion  Design  Technology:  Menswear,19000,138.0
10007162,Fashion  Design  Technology:  Womenswear,19000,163.0
10007162,Fashion  Illustration,19000,144
10007162,Fashion  Jewellery,19000,125.23529411764706
10007162,Fashion  Journalism,20000,134.0
10007162,Fashion  Management,24000,138.0
10007162,Fashion  Marketing,21000,135.5
10007162,Fashion  Media  Practice  and  Criticism,20000,133.0
10007162,Fashion  Pattern  Cutting,19000,148.28571428571428
10007162,Fashion  Photography,18000,131.0
10007162,Fashion  Public  Relations  and  Communication,20000,112
10007162,Fashion  Sportswear,19000,125.23529411764706
10007162,Fashion  Styling  and  Production,18000,119.5
10007162,Fashion  Textiles:  Embroidery,19000,135.5
10007162,Fashion  Textiles:  Knit,19000,128
10007162,Fashion  Textiles:  Print,19000,125.23529411764706
10007162,Fashion  Visual  Merchandising  and  Branding,19000,112
10007162,Fashion:  Design  With  Knitwear,19000,125.23529411764706
10007162,Fashion:  Design  With  Marketing,19000,125.23529411764706
10007162,Fashion:  Fashion  Design  Menswear,19000,125.23529411764706
10007162,Fashion:  Fashion  Design  Womenswear,19000,125.23529411764706
10007162,Fashion:  Fashion  Print,19000,125.23529411764706
10007162,Film  and  Television,18000,109.125
10007162,Fine  Art,18000,144
10007162,Fine  Art,18000,119.5
10007162,Fine  Art:  Painting,18000,128
10007162,Fine  Art:  Print  and  Time  Based  Media,18000,119.5
10007162,Fine  Art:  Sculpture,18000,117.0
10007162,Graphic  and  Media  Design,19000,118.0
10007162,Graphic  Branding  and  Identity,19000,105.0
10007162,Graphic  Communication  Design,19000,125.33333333333333
10007162,Graphic  Design,19000,135.5
10007162,Graphic  Design,20000,80
10007162,Graphic  Design  Communication,19000,149.0
10007162,Hair  and  Make-up  for  Fashion,19000,96
10007162,Hair  Make-up  and  Prosthetics  for  Performance,19000,146.5
10007162,Illustration,19000,128
10007162,Illustration,20000,64
10007162,Illustration  and  Visual  Media,19000,128
10007162,Information  and  Interface  Design,19000,125.23529411764706
10007162,Interaction  Design  Arts,19000,125.23529411764706
10007162,Interior  and  Spatial  Design,19000,101.625
10007162,Interior  Design,20000,87.5
10007162,Jewellery  Design,19000,125.23529411764706
10007162,Journalism,20000,107.25
10007162,Magazine  Journalism  and  Publishing,20000,96
10007162,Painting,18000,119.5
10007162,Performance  Design  and  Practice,19000,134.66666666666666
10007162,Photography,18000,108.0
10007162,Photography,18000,112
10007162,Photojournalism  and  Documentary  Photography,20000,107.25
10007162,Product  Design,19000,123.25
10007162,Production  Arts  for  Screen,19000,134.66666666666666
10007162,Public  Relations,21000,106.0
10007162,Sculpture,18000,123.25
10007162,Sound  Arts  and  Design,19000,115.33333333333333
10007162,Strategic  Fashion  Management,24000,151.5
10007162,Textile  Design,19000,131.0
10007162,Textile  Design,19000,116.28571428571428
10007162,Theatre  Design,19000,134.66666666666666
10007162,Three-Dimensional  Design,19000,125.23529411764706
10000415,Agriculture,18000,0
10000415,Agriculture,15600,0
10000415,Animal  Management,15600,0
10000415,Animal  Management  and  Science,18000,0
10000415,Arboriculture  and  Urban  Forestry,16000,0
10000415,Canine  and  Feline  Training  and  Behaviour,16000,0
10000415,Countryside  Management,15600,0
10000415,Equine  Science,18000,0
10000415,Equine  Science  and  Management,15600,0
10000415,Horticulture,15600,0
10000415,Horticulture  with  Landscape  Garden  Management,18000,0
10007759,Accounting  For  Management,20000,149.625
10007759,Biological  Sciences,18000,135.5
10007759,Biological  Sciences,18000,130.14285714285714
10007759,Biomedical  Engineering,26000,109.33333333333333
10007759,Biomedical  Engineering,26000,109.33333333333333
10007759,Biomedical  Science,20000,131.1578947368421
10007759,Business  and  Management,21000,160.48387096774195
10007759,Business  Computing  and  IT,21000,155.25
10007759,Business  Management  and  Public  Policy,25000,118.0
10007759,Chemical  Engineering,26000,130.14285714285714
10007759,Chemical  Engineering,26000,130.14285714285714
10007759,Communications  Engineering,26000,133.0
10007759,Computing  for  Business,23000,128
10007759,Computing  Science,23000,150.0
10007759,Computing  Science  and  Mathematics,23000,147.52941176470588
10007759,Design  Engineering,27000,96
10007759,Economics  And  Management,25000,136.03571428571428
10007759,Electrical  and  Electronic  Engineering,26000,138.0
10007759,Electrical  and  Electronic  Engineering,26000,133.0
10007759,Electromechanical  Engineering,27000,137.75
10007759,English  Language,18000,124.0
10007759,English  Language  &  Literature,18000,123.89655172413794
10007759,Finance,20000,137.0
10007759,French,20000,123.25
10007759,French  including  School  Experience,20000,123.25
10007759,German,19000,128
10007759,German  including  School  Experience,19000,128
10007759,Healthcare  Science  (Audiology),22000,149.0
10007759,Human  Resource  Management,21000,144
10007759,Industrial  Product  Design,27000,125.33333333333333
10007759,International  Business  And  Economics,25000,128
10007759,International  Business  And  Management,21000,148.82142857142858
10007759,Logistics  with  Purchasing  Management,26000,138.0
10007759,Logistics  with  Supply  Chain  Management,26000,138.0
10007759,Logistics  with  Transport  Management,26000,138.0
10007759,Marketing,20000,154.5
10007759,Mathematics,22000,132.21875
10007759,Mathematics  for  Industry,22000,126.23076923076923
10007759,Mathematics  with  Economics,27000,112
10007759,Mechanical  Engineering,27000,136.33333333333334
10007759,Mechanical  Engineering,27000,136.33333333333334
10007759,Multimedia  Computing,23000,133.0
10007759,Neuroscience,21000,137.0909090909091
10007759,Optometry,15000,150.0
10007759,Optometry,15000,150.0
10007759,Pharmacy,19000,142.14285714285714
10007759,Politics  with  International  Relations,21000,114.5
10007759,Product  Design  and  Management,27000,146.5
10007759,Psychology,18000,130.8846153846154
10007759,Psychology,18000,130.8846153846154
10007759,Sociology,18000,112
10007759,Spanish,19000,118.66666666666667
10007759,Spanish  including  School  Experience,19000,112
10007759,Transport  Product  Design,27000,137.75
10007857,Addysg  Gynradd,22000,163.0
10007857,Adult  Nursing,22000,141.0
10007857,Applied  Marine  Biology,18000,152.57142857142858
10007857,Applied  Terrestrial  And  Marine  Ecology,18000,125.125
10007857,Applied  Terrestrial  And  Marine  Ecology,18000,125.125
10007857,Bilingualism,17000,124.85714285714286
10007857,Biology,18000,119.5
10007857,Biology,18000,96
10007857,Biology  With  Biotechnology,18000,131.52941176470588
10007857,Biology  With  Biotechnology,18000,131.52941176470588
10007857,Biomedical  Sciences,18000,144
10007857,Business  Economics,19000,106.71428571428571
10007857,Business  Studies,19000,135.5
10007857,Business  Studies  With  Spanish,19000,135.5
10007857,Chemistry,21000,117.0
10007857,Chemistry,21000,119.5
10007857,Chemistry  With  Industrial  Experience,21000,96
10007857,Chemistry  With  Industrial  Experience,21000,119.5
10007857,Children'S  Nursing,22000,147.0
10007857,Computer  Information  Systems,21000,106.0
10007857,Computer  Information  Systems  for  Business,21000,121.23076923076923
10007857,Computer  Science,21000,112
10007857,Computer  Systems  Engineering,24000,115.75
10007857,Computer  Systems  Engineering,24000,115.75
10007857,Computer  Systems  Engineering,24000,115.75
10007857,Conservation  with  Forestry  (with  placement  year),22000,165.0
10007857,Control  And  Instrumentation  Engineering,24000,115.75
10007857,Creative  And  Professional  Writing,15000,133.0
10007857,Creative  Practice,15000,134.0
10007857,Creative  Studies,15000,151.5
10007857,Criminology  &  Criminal  Justice,17000,130.72727272727272
10007857,Criminology  And  Criminal  Justice,17000,112
10007857,Critical  Safety  Engineering,24000,115.75
10007857,Cymdeithaseg  a  Troseddeg  a  Chyfiawnder  Troseddol,17000,130.72727272727272
10007857,Cymdeithaseg  And  Health  And  Social  Care,17000,130.72727272727272
10007857,Cymraeg,18000,160
10007857,Cymraeg  Proffesiynol,18000,165.0
10007857,Design  And  Technology,22000,146.30769230769232
10007857,Diagnostic  Radiography,22000,166.0
10007857,Dylunio  Cynnyrch,16000,112
10007857,Electronic  Engineering,24000,114.5
10007857,Electronic  Engineering,24000,80
10007857,Electronic  Engineering,24000,140.0
10007857,English  Language,17000,128
10007857,English  Language  And  English  Literature,17000,121.70588235294117
10007857,English  Language  for  TEFL,17000,121.70588235294117
10007857,English  Language  for  TEFL,17000,121.70588235294117
10007857,English  Language  with  English  Literature,17000,121.70588235294117
10007857,English  Law  and  French  Law,17000,137.0
10007857,English  Literature,17000,121.70588235294117
10007857,English  Literature,17000,96
10007857,English  Literature  With  English  Language,17000,121.70588235294117
10007857,Environmental  Conservation,18000,122.0
10007857,Environmental  Conservation,18000,138.0
10007857,Environmental  Management,18000,121.23076923076923
10007857,Environmental  Management,18000,121.23076923076923
10007857,Environmental  Science,18000,121.23076923076923
10007857,Environmental  Sciences,18000,133.0
10007857,Financial  Economics,19000,106.71428571428571
10007857,Forestry,22000,165.0
10007857,Forestry,22000,167.5
10007857,French,18000,103.5
10007857,French  And  Spanish,18000,102.42857142857143
10007857,Geography,18000,118.42857142857143
10007857,Geography,18000,121.23076923076923
10007857,Geography,18000,115.75
10007857,Geological  Oceanography,21000,112
10007857,Geological  Oceanography,21000,106.71428571428571
10007857,German,18000,117.0
10007857,Health  and  Social  Care,17000,132.0909090909091
10007857,Health  And  Social  Care,19000,134.0
10007857,Health  and  Well-being,22000,145.0
10007857,Heritage  Archaeology  And  History,17000,120.4
10007857,History,17000,119.5
10007857,History,17000,120.4
10007857,Iechyd  a  Gofal  Cymdeithasol,19000,135.5
10007857,International  English  Language  for  TEFL,17000,121.70588235294117
10007857,Law,17000,128
10007857,Law  2,17000,137.0
10007857,Learning  Disability  Nursing,22000,145.0
10007857,Linguistics,17000,112
10007857,Linguistics,17000,124.85714285714286
10007857,Marine  Biology,18000,119.5
10007857,Marine  Biology,18000,125.125
10007857,Marine  Environmental  Studies,21000,80
10007857,Marine  Geography,18000,121.23076923076923
10007857,Marine  Science,21000,119.5
10007857,Marine  Vertebrate  Zoology,15000,131.0
10007857,Marketing,19000,96
10007857,Medical  Biology,18000,125.125
10007857,Medical  Biology,18000,125.125
10007857,Medical  Sciences,22000,119.5
10007857,Medieval  And  Early  Modern  History,17000,118.0
10007857,Mental  Health  Nursing,22000,144
10007857,Midwifery,22000,136.57142857142858
10007857,Modern  And  Contemporary  History,17000,120.4
10007857,Music,16000,139.25
10007857,Music,16000,134.0
10007857,Ocean  Science,21000,103.5
10007857,Philosophy  and  Religion,17000,102.42857142857143
10007857,Physical  Oceanography,21000,119.5
10007857,Polisi  Cymdeithasol  A  Gofal  Iechyd  A  Chymdeithasol,17000,132.0909090909091
10007857,Polisi  Cymdeithasol  A  Throseddeg  A  Chyfiawnder  Troseddol,17000,132.0909090909091
10007857,Primary  Education,22000,121.0
10007857,Product  Design,16000,107.25
10007857,Professional  Writing,15000,131.0
10007857,Psychology,17000,122.625
10007857,Psychology,17000,124.85714285714286
10007857,Psychology  w  Clin  &  Health  Psy,17000,124.85714285714286
10007857,Psychology  With  Clinical  And  Health  Psychology,17000,131.75
10007857,Psychology  With  Neuropsychology,17000,119.5
10007857,Social  Policy,17000,132.0909090909091
10007857,Social  Policy,17000,132.0909090909091
10007857,Sociology,17000,96
10007857,Sociology,17000,130.72727272727272
10007857,Sociology  And  Criminology  And  Criminal  Justice,17000,130.72727272727272
10007857,Spanish,18000,101.625
10007857,Sport  And  Exercise  Psychology,17000,123.25
10007857,Sport  Science,17000,137.64285714285714
10007857,Sport  Science  (Outdoor  Activities),17000,137.64285714285714
10007857,Sport  Health  and  Exercise  Science,17000,137.64285714285714
10007857,Sport  Health  And  Exercise  Sciences,17000,112
10007857,Sport  Health  And  Physical  Education,17000,151.5
10007857,Sports  Science,17000,112
10007857,Sports  Science  (Outdoor  Activities),17000,160
10007857,Welsh  (For  Beginners),18000,165.0
10007857,Welsh  History  and  History,17000,120.4
10007857,Zoology,15000,124.0
10007857,Zoology,15000,135.5
10007857,Zoology  With  Animal  Behaviour,15000,144
10007857,Zoology  With  Animal  Behaviour,15000,153.0
10007857,Zoology  With  Conservation,15000,112
10007857,Zoology  With  Conservation,15000,165.0
10007857,Zoology  With  Herpetology,15000,151.5
10007857,Zoology  With  Herpetology,15000,137.0
10007857,Zoology  with  Marine  Zoology,15000,137.0
10007857,Zoology  With  Marine  Zoology,15000,135.5
10000571,Acting,17000,146.3684210526316
10000571,Acting  with  Professional  Placement  Year,17000,134.875
10000571,Biology,18000,106.0
10000571,Biology  (Conservation  Biology),18000,105.0
10000571,Biology  (Conservation  Biology)  with  year  in  professional  practice,18000,105.0
10000571,Biology  (Human  Biology),18000,105.0
10000571,Biology  (Human  Biology)  with  year  in  professional  practice,18000,105.0
10000571,Biology  with  year  in  professional  practice,18000,105.0
10000571,Business  &  Management  (Accounting),20000,115.0
10000571,Business  &  Management  (Accounting)  with  Professional  Practice  Year,20000,115.0
10000571,Business  &  Management  (Entrepreneurship),20000,107.5909090909091
10000571,Business  &  Management  (Entrepreneurship)  with  Professional  Practice  Year,20000,107.5909090909091
10000571,Business  &  Management  (Festivals  and  Events),20000,107.5909090909091
10000571,Business  &  Management  (Festivals  and  Events)  with  Professional  Practice  Year,20000,107.5909090909091
10000571,Business  &  Management  (Human  Resource  Management)  with  Professional  Practice  Year,20000,123.25
10000571,Business  &  Management  (International  Business)  with  Professional  Practice  Year,20000,107.5909090909091
10000571,Business  &  Management  (Law),20000,107.5909090909091
10000571,Business  &  Management  (Law)  with  Professional  Practice  Year,20000,107.5909090909091
10000571,Business  &  Management  (Marketing)  with  Professional  Practice  Year,20000,108.5
10000571,Business  &  Management  (Tourism  Management)  with  Professional  Practice  Year,20000,108.6
10000571,Business  &  Management  with  Professional  Practice  Year,20000,107.5909090909091
10000571,Business  and  Management,20000,107.875
10000571,Business  and  Management  &  Creative  Computing  with  Professional  Placement  Year,20000,107.5909090909091
10000571,Business  and  Management  (Human  Resource  Management),20000,123.25
10000571,Business  and  Management  (International),20000,107.25
10000571,Business  and  Management  (Marketing),20000,108.5
10000571,Business  and  Management  (Tourism  Management),20000,108.6
10000571,Comedy,17000,134.875
10000571,Comedy  with  Professional  Placement  Year,17000,134.875
10000571,Creative  Writing,16000,133.0
10000571,Creative  Writing  with  Professional  Placement  Year,16000,112
10000571,Dance  &  Drama,17000,112
10000571,Drama,17000,119.5
10000571,Drama  (Writing  For  Performance),17000,134.875
10000571,Drama  with  Professional  Placement  Year,17000,134.875
10000571,Education  Specialised  &  Early  Years,16000,135.5
10000571,Education  Specialised  &  Education  Single,16000,132.82142857142858
10000571,Education  Studies,16000,115.75
10000571,Education  Studies  with  Professional  Placement  Year,16000,125.5
10000571,Education:  Early  Years  Single,16000,117.0
10000571,Education:  Early  Years  with  Professional  Placement  Year,16000,125.5
10000571,English  Literature,17000,121.375
10000571,English  Literature  with  Professional  Placement  Year,17000,121.6
10000571,Environmental  Science,20000,115.0
10000571,Environmental  Science  with  year  in  professional  practice,20000,105.23076923076923
10000571,Film  &  Screen  Studies  with  Professional  Placement  Year,18000,116.16666666666667
10000571,Film  and  Screen  Studies,18000,106.0
10000571,Film  and  Screen  Studies  &  Media  Communications,18000,116.16666666666667
10000571,Film  and  Screen  Studies  &  Media  Communications  with  Professional  Placement  Year,18000,116.16666666666667
10000571,Film  Television  and  Digital  Production,18000,129.30434782608697
10000571,Film  TV  &  Digital  Production  with  Professional  Placement  Year,18000,116.16666666666667
10000571,Food  with  Nutrition,22000,115.75
10000571,Food  with  Nutrition  with  year  in  professional  practice,22000,115.75
10000571,Geography,20000,102.0
10000571,Geography  (Human),20000,105.23076923076923
10000571,Geography  (Human)  with  Professional  Placement  Year,20000,105.23076923076923
10000571,Geography  (Physical),20000,105.23076923076923
10000571,Geography  (Physical)  with  Professional  Placement  Year,20000,105.23076923076923
10000571,Geography  with  Professional  Placement  Year,20000,105.23076923076923
10000571,Global  Development  &  Sustainability,20000,108.85714285714286
10000571,Global  Development  &  Sustainability  with  Professional  Placement  Year,20000,105.23076923076923
