Institution,Course,Label,URL,Mode,Salary,avgTariff,lowerTariff,Employment
University Of Aberdeen,Physical Sciences,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F302/,FullTime,18000,171.25,1,90
University Of Aberdeen,Physics,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/F300/,FullTime,18000,169.0,112,90
University Of Aberdeen,Physiology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/B120,FullTime,18000,144,48,85
University Of Aberdeen,Physiology with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/B121,FullTime,18000,195.0,48,95
University Of Aberdeen,Politics and International Relations,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/L240/,FullTime,20000,160,1,90
University Of Aberdeen,Psychology,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/C802/,FullTime,18000,160,1,90
University Of Aberdeen,Psychology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C800/,FullTime,18000,197.0,96,95
University Of Aberdeen,Sociology,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/L300,FullTime,20000,176,80,75
University Of Aberdeen,Spanish & Latin American Studies,MA,http://www.abdn.ac.uk/prospectus/ugrad/study/T711/,FullTime,18000,149.0,1,90
University Of Aberdeen,Sport and Exercise Science,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C600/,FullTime,18000,176,64,91
University Of Aberdeen,Sports and Exercise Science with Industrial Placement,MSci,http://www.abdn.ac.uk/prospectus/ugrad/study/C602,FullTime,18000,183.5,64,91
University Of Aberdeen,Theology & Religious Studies,MA,https://www.abdn.ac.uk/study/undergraduate/degree-programmes/535/V605/theology-and-religious-studies/,FullTime,18000,128,96,75
University Of Aberdeen,Zoology,BSc,http://www.abdn.ac.uk/prospectus/ugrad/study/C300/,FullTime,18000,171.25,112,95
University Of Abertay Dundee,Accounting and Finance,BA,http://www.abertay.ac.uk/studying/ug/accounting-and-finance-ba/,FullTime,20000,170.0,112,80
University Of Abertay Dundee,Biomedical Sciences,BSc,http://www.abertay.ac.uk/studying/ug/biomedical-science-bsc/,FullTime,22000,156.0,64,85
University Of Abertay Dundee,Business and Human Resource Management,BA,https://www.abertay.ac.uk/studying/undergraduate/ba-business-and-human-resource-management/name-33249-en.php,FullTime,20000,154.0,96,92
University Of Abertay Dundee,Business Management,BA,http://www.abertay.ac.uk/studying/ug/business-management-ba/,FullTime,20000,128,80,95
University Of Abertay Dundee,Computer Arts,BA,http://www.abertay.ac.uk/studying/ug/comparts/,FullTime,20000,176,96,82
University Of Abertay Dundee,Computer Game Applications Development,BSc,http://www.abertay.ac.uk/studying/ug/cgad/,FullTime,20000,156.5,112,82
University Of Abertay Dundee,Computer Games Technology,BSc,http://www.abertay.ac.uk/studying/ug/comopgamestech/,FullTime,22000,195.75,128,90
University Of Abertay Dundee,Computing,BSc,http://www.abertay.ac.uk/studying/ug/computing/,FullTime,18000,154.0,96,100
University Of Abertay Dundee,Criminology,BA,http://www.abertay.ac.uk/studying/ug/criminology-ug-bsc/,FullTime,14000,144,96,90
University Of Abertay Dundee,Ethical Hacking,BSc,http://www.abertay.ac.uk/studying/ug/ethhac/,FullTime,22000,151.5,112,86
University Of Abertay Dundee,Fitness Nutrition and Health,BSc,https://www.abertay.ac.uk/studying/undergraduate/bsc-fitness-nutrition-and-health/name-33252-en.php,FullTime,18000,155.25,96,95
University Of Abertay Dundee,Food and Consumer Sciences,BSc,http://www.abertay.ac.uk/studying/ug/fcscience/,FullTime,18000,155.25,96,95
University Of Abertay Dundee,Food Nutrition and Health,BSc,http://www.abertay.ac.uk/studying/ug/fnh/,FullTime,18000,151.5,96,100
University Of Abertay Dundee,Forensic Sciences,BSc,http://www.abertay.ac.uk/studying/ug/forsc/,FullTime,14000,144,112,90
University Of Abertay Dundee,Game Design and Production Management,BA,http://www.abertay.ac.uk/studying/ug/gdpm/,FullTime,20000,144,112,100
University Of Abertay Dundee,Management and the Games Industry,BA,https://www.abertay.ac.uk/studying/undergraduate/ba-management-and-the-games-industry/name-33251-en.php,FullTime,20000,154.0,96,92
University Of Abertay Dundee,Marketing and Business,BA,http://www.abertay.ac.uk/studying/ug/mb/,FullTime,20000,166.0,96,90
University Of Abertay Dundee,Nursing (Mental Health Nursing),BSc,http://www.abertay.ac.uk/studying/ug/mhn/,FullTime,22000,107.25,48,100
University Of Abertay Dundee,Psychology,BSc,http://www.abertay.ac.uk/studying/ug/psych/,FullTime,16000,179.0,128,100
University Of Abertay Dundee,Psychology and Counselling,BSc,http://www.abertay.ac.uk/studying/ug/psycounsel/,FullTime,18000,167.5,80,97
University Of Abertay Dundee,Psychology and Forensic Biology,BSc,http://www.abertay.ac.uk/studying/ug/psychology-forensic-biology-bsc/,FullTime,18000,162.14285714285714,112,90
University Of Abertay Dundee,Psychology and Human Resource Management,BSc,https://www.abertay.ac.uk/studying/undergraduate/bsc-psychology-and-human-resource-management/name-33253-en.php,FullTime,18000,172.0,112,97
University Of Abertay Dundee,Social Science,BA,http://www.abertay.ac.uk/studying/ug/sosc/,FullTime,17000,149.0,112,95
University Of Abertay Dundee,Sociology,BA,http://www.abertay.ac.uk/studying/ug/soc/,FullTime,17000,149.0,112,95
University Of Abertay Dundee,Sound and Music for Games,BA,http://www.abertay.ac.uk/studying/ug/sound-music-games-ba/,FullTime,20000,160,128,90
University Of Abertay Dundee,Sport and Exercise,BSc,http://www.abertay.ac.uk/studying/ug/spex/,FullTime,19000,144,112,95
University Of Abertay Dundee,Sport and Management,BA,http://www.abertay.ac.uk/studying/ug/sm/,FullTime,19000,112,64,92
University Of Abertay Dundee,Sport and Psychology,BSc,http://www.abertay.ac.uk/studying/ug/spsy/,FullTime,19000,137.0,80,92
Aberystwyth University,Accounting and Finance,BSc,http://www.aber.ac.uk/courses/?73D9YL,FullTime,17000,115.75,48,95
Aberystwyth University,Adventure Tourism Management,BSc,http://www.aber.ac.uk/courses/?6UGHXV,FullTime,19000,133.0,1,100
Aberystwyth University,Agriculture,BSc,http://www.aber.ac.uk/courses/?R85VW8,FullTime,18000,122.9090909090909,48,79
Aberystwyth University,Agriculture (with integrated year in industry),BSc,http://www.aber.ac.uk/courses/?4S5HG8,FullTime,18000,139.25,48,85
Aberystwyth University,Agriculture with Animal Science (with integrated year in industry),BSc,http://www.aber.ac.uk/courses/?P3C69U,FullTime,18000,133.0,48,79
Aberystwyth University,Animal Behaviour,BSc,http://www.aber.ac.uk/courses/?7HUXJN,FullTime,16000,133.0,64,89
Aberystwyth University,Animal Behaviour (with year in industry),BSc,http://www.aber.ac.uk/courses/?ZDPRAE,FullTime,16000,108.0,64,89
Aberystwyth University,Animal Science,BSc,http://www.aber.ac.uk/courses/?V23QGA,FullTime,18000,107.66666666666667,48,100
Aberystwyth University,Animal Science (with year in industry),BSc,http://www.aber.ac.uk/courses/?LSXXE3,FullTime,18000,96,64,100
Aberystwyth University,Applied Mathematics/Pure Mathematics,BSc,http://www.aber.ac.uk/courses/?VHVG4Y,FullTime,18000,117.0,1,90
Aberystwyth University,Applied Mathematics/Statistics,BSc,http://www.aber.ac.uk/courses/?PVJF4H,FullTime,18000,117.0,1,90
Aberystwyth University,Art History,BA,http://www.aber.ac.uk/courses/?JNXE6Y,FullTime,16000,115.94736842105263,48,90
Aberystwyth University,Artificial Intelligence and Robotics,BSc,http://www.aber.ac.uk/courses/?2V5QLZ,FullTime,23000,108.0,1,98
Aberystwyth University,Artificial Intelligence and Robotics (inc Integrated Industrial and Professional Training),BSc,http://www.aber.ac.uk/courses/?HSWGEN,FullTime,23000,83.0,1,98
Aberystwyth University,Astrophysics,BSc,http://www.aber.ac.uk/courses/?CJZ7C4,FullTime,23000,80,64,100
Aberystwyth University,Astrophysics,MPhys,http://www.aber.ac.uk/courses/?ZWQPUK,FullTime,23000,107.25,1,75
